age,Facebook,Instagram,TikTok,Twitter,YouTube
53,0.292,0.254,0.137,0.195,0.123
49,0.249,0.233,0.18,0.16,0.179
21,0.228,0.193,0.178,0.181,0.22
65,0.223,0.273,0.148,0.198,0.157
23,0.248,0.279,0.115,0.182,0.177
47,0.226,0.222,0.14,0.208,0.204
55,0.252,0.239,0.143,0.152,0.213
22,0.24,0.265,0.145,0.162,0.188
26,0.282,0.255,0.103,0.162,0.198
18,0.186,0.257,0.167,0.154,0.237
21,0.228,0.193,0.178,0.181,0.22
43,0.192,0.21,0.178,0.214,0.206
34,0.213,0.267,0.111,0.195,0.215
53,0.292,0.254,0.137,0.195,0.123
30,0.227,0.233,0.162,0.186,0.191
54,0.235,0.254,0.143,0.188,0.18
54,0.235,0.254,0.143,0.188,0.18
56,0.248,0.289,0.162,0.156,0.145
19,0.307,0.228,0.135,0.157,0.173
59,0.155,0.342,0.188,0.135,0.18
35,0.212,0.296,0.126,0.169,0.198
65,0.223,0.273,0.148,0.198,0.157
53,0.292,0.254,0.137,0.195,0.123
33,0.25,0.171,0.248,0.162,0.168
22,0.24,0.265,0.145,0.162,0.188
55,0.252,0.239,0.143,0.152,0.213
45,0.274,0.205,0.164,0.152,0.205
56,0.248,0.289,0.162,0.156,0.145
18,0.186,0.257,0.167,0.154,0.237
45,0.274,0.205,0.164,0.152,0.205
40,0.2,0.323,0.147,0.17,0.161
27,0.239,0.235,0.163,0.177,0.187
28,0.142,0.276,0.171,0.188,0.223
27,0.239,0.235,0.163,0.177,0.187
45,0.274,0.205,0.164,0.152,0.205
63,0.223,0.253,0.139,0.206,0.178
23,0.248,0.279,0.115,0.182,0.177
66,0.269,0.209,0.15,0.203,0.169
31,0.219,0.185,0.163,0.185,0.248
41,0.253,0.22,0.097,0.209,0.222
22,0.24,0.265,0.145,0.162,0.188
53,0.292,0.254,0.137,0.195,0.123
64,0.256,0.249,0.172,0.111,0.211
34,0.213,0.267,0.111,0.195,0.215
25,0.195,0.252,0.162,0.182,0.21
46,0.288,0.212,0.105,0.192,0.202
63,0.223,0.253,0.139,0.206,0.178
26,0.282,0.255,0.103,0.162,0.198
36,0.239,0.257,0.185,0.136,0.183
28,0.142,0.276,0.171,0.188,0.223
18,0.186,0.257,0.167,0.154,0.237
36,0.239,0.257,0.185,0.136,0.183
52,0.191,0.247,0.171,0.234,0.157
67,0.269,0.249,0.147,0.18,0.155
46,0.288,0.212,0.105,0.192,0.202
36,0.239,0.257,0.185,0.136,0.183
42,0.213,0.234,0.15,0.184,0.218
63,0.223,0.253,0.139,0.206,0.178
49,0.249,0.233,0.18,0.16,0.179
59,0.155,0.342,0.188,0.135,0.18
44,0.209,0.22,0.172,0.23,0.168
35,0.212,0.296,0.126,0.169,0.198
57,0.229,0.271,0.145,0.141,0.213
38,0.241,0.301,0.171,0.107,0.179
63,0.223,0.253,0.139,0.206,0.178
28,0.142,0.276,0.171,0.188,0.223
53,0.292,0.254,0.137,0.195,0.123
68,0.22,0.273,0.111,0.22,0.176
28,0.142,0.276,0.171,0.188,0.223
25,0.195,0.252,0.162,0.182,0.21
62,0.224,0.253,0.145,0.248,0.13
42,0.213,0.234,0.15,0.184,0.218
55,0.252,0.239,0.143,0.152,0.213
70,0.227,0.261,0.165,0.159,0.189
54,0.235,0.254,0.143,0.188,0.18
25,0.195,0.252,0.162,0.182,0.21
20,0.195,0.249,0.152,0.174,0.23
46,0.288,0.212,0.105,0.192,0.202
67,0.269,0.249,0.147,0.18,0.155
49,0.249,0.233,0.18,0.16,0.179
60,0.243,0.243,0.151,0.161,0.202
39,0.217,0.288,0.134,0.158,0.203
34,0.213,0.267,0.111,0.195,0.215
35,0.212,0.296,0.126,0.169,0.198
18,0.186,0.257,0.167,0.154,0.237
27,0.239,0.235,0.163,0.177,0.187
35,0.212,0.296,0.126,0.169,0.198
19,0.307,0.228,0.135,0.157,0.173
54,0.235,0.254,0.143,0.188,0.18
27,0.239,0.235,0.163,0.177,0.187
18,0.186,0.257,0.167,0.154,0.237
57,0.229,0.271,0.145,0.141,0.213
69,0.254,0.204,0.178,0.206,0.159
69,0.254,0.204,0.178,0.206,0.159
59,0.155,0.342,0.188,0.135,0.18
49,0.249,0.233,0.18,0.16,0.179
43,0.192,0.21,0.178,0.214,0.206
67,0.269,0.249,0.147,0.18,0.155
44,0.209,0.22,0.172,0.23,0.168
55,0.252,0.239,0.143,0.152,0.213
43,0.192,0.21,0.178,0.214,0.206
43,0.192,0.21,0.178,0.214,0.206
36,0.239,0.257,0.185,0.136,0.183
25,0.195,0.252,0.162,0.182,0.21
69,0.254,0.204,0.178,0.206,0.159
23,0.248,0.279,0.115,0.182,0.177
69,0.254,0.204,0.178,0.206,0.159
40,0.2,0.323,0.147,0.17,0.161
36,0.239,0.257,0.185,0.136,0.183
62,0.224,0.253,0.145,0.248,0.13
30,0.227,0.233,0.162,0.186,0.191
20,0.195,0.249,0.152,0.174,0.23
64,0.256,0.249,0.172,0.111,0.211
47,0.226,0.222,0.14,0.208,0.204
57,0.229,0.271,0.145,0.141,0.213
52,0.191,0.247,0.171,0.234,0.157
56,0.248,0.289,0.162,0.156,0.145
24,0.266,0.231,0.172,0.128,0.203
66,0.269,0.209,0.15,0.203,0.169
24,0.266,0.231,0.172,0.128,0.203
61,0.212,0.258,0.14,0.205,0.184
40,0.2,0.323,0.147,0.17,0.161
69,0.254,0.204,0.178,0.206,0.159
65,0.223,0.273,0.148,0.198,0.157
60,0.243,0.243,0.151,0.161,0.202
67,0.269,0.249,0.147,0.18,0.155
46,0.288,0.212,0.105,0.192,0.202
53,0.292,0.254,0.137,0.195,0.123
